     10  12  17  18  21  Resto
80    1   2   1   3   0      5
81    1   2   2   0   2      0
82    1   2   2   1   1      3
83    1   2   2   2   0      6
84    1   2   3   0   1      4
85    1   2   3   1   0      7
86    1   2   4   0   0      8
87    1   3   0   0   3      1
88    1   3   0   1   2      4
89    1   3   0   2   1      7
90    1   3   1   0   2      5
91    1   3   1   1   1      8
92    1   3   2   0   1      9
93    1   4   2   1   0      0
94    1   4   3   0   0      1
95    1   5   0   1   1      1
96    1   5   0   2   0      4
97    1   5   1   0   1      2
98    1   5   1   1   0      5
99    1   5   2   0   0      6
100   1   6   0   0   1      7
101   1   8   0   0   0      4
102   2   0   0   0   4      6
103   2   0   0   1   3      9
104   2   0   0   5   0      0
105   2   0   1   4   0      1
106   2   0   2   3   0      2
107   2   0   3   1   1      0
108   2   0   3   2   0      3
109   2   0   4   0   1      1
110   2   0   4   1   0      4
111   2   0   5   0   0      5
112   2   1   0   2   2      0
113   2   1   0   3   1      3
114   2   1   0   4   0      6
115   2   1   1   1   2      1
116   2   1   1   2   1      4
117   2   1   1   3   0      7
118   2   1   2   0   2      2
119   2   1   2   1   1      5
120   2   1   2   2   0      8
121   2   1   3   0   1      6
122   2   1   3   1   0      9
123   2   2   0   0   3      3
124   2   2   0   1   2      6
125   2   2   0   2   1      9
126   2   2   1   0   2      7
127   2   3   0   3   0      0
128   2   3   1   2   0      1
129   2   3   2   1   0      2
130   2   3   3   0   0      3
131   2   4   0   0   2      0
132   2   4   0   1   1      3
133   2   4   0   2   0      6
134   2   4   1   0   1      4
135   2   4   1   1   0      7
136   2   4   2   0   0      8
137   2   5   0   0   1      9
138   2   6   0   1   0      0
139   2   6   1   0   0      1
140   2   7   0   0   0      6
141   3   0   0   2   2      2
142   3   0   0   3   1      5
143   3   0   0   4   0      8
144   3   0   1   0   3      0
145   3   0   1   1   2      3
146   3   0   1   2   1      6
147   3   0   1   3   0      9
148   3   0   2   0   2      4
149   3   0   2   1   1      7
150   3   0   3   0   1      8
151   3   1   0   0   3      5
152   3   1   0   1   2      8
153   3   1   1   0   2      9
154   3   1   4   0   0      0
155   3   2   0   3   0      2
156   3   2   1   1   1      0
157   3   2   1   2   0      3
158   3   2   2   0   1      1
159   3   2   2   1   0      4
160   3   2   3   0   0      5
161   3   3   0   0   2      2
162   3   3   0   1   1      5
163   3   3   0   2   0      8
164   3   3   1   0   1      6
165   3   3   1   1   0      9
166   3   5   0   1   0      2
167   3   5   1   0   0      3
168   3   6   0   0   0      8
169   4   0   0   0   3      7
170   4   0   2   2   0      0
171   4   0   3   1   0      1
172   4   0   4   0   0      2
173   4   1   0   2   1      1
174   4   1   0   3   0      4
175   4   1   1   1   1      2
176   4   1   1   2   0      5
177   4   1   2   0   1      3
178   4   1   2   1   0      6
179   4   1   3   0   0      7
180   4   2   0   0   2      4
181   4   2   0   1   1      7
182   4   2   1   0   1      8
183   4   3   2   0   0      0
184   4   4   0   0   1      1
185   4   4   0   1   0      4
186   4   4   1   0   0      5
187   5   0   0   1   2      0
188   5   0   0   2   1      3
189   5   0   0   3   0      6
190   5   0   1   0   2      1
191   5   0   1   1   1      4
192   5   0   1   2   0      7
193   5   0   2   0   1      5
194   5   0   2   1   0      8
195   5   0   3   0   0      9
196   5   1   0   0   2      6
197   5   1   0   1   1      9
198   5   2   0   2   0      0
199   5   2   1   1   0      1
200   5   2   2   0   0      2
201   5   3   0   0   1      3
202   5   3   0   1   0      6
203   5   3   1   0   0      7
204   5   5   0   0   0      0
205   6   0   0   0   2      8
206   6   1   0   2   0      2
207   6   1   1   0   1      0
208   6   1   1   1   0      3
209   6   1   2   0   0      4
210   6   2   0   0   1      5
211   6   2   0   1   0      8
212   6   2   1   0   0      9
213   6   4   0   0   0      2
214   7   0   0   1   1      1
215   7   0   0   2   0      4
216   7   0   1   0   1      2
217   7   0   1   1   0      5
218   7   0   2   0   0      6
219   7   1   0   0   1      7
220   7   3   0   0   0      4
221   8   0   0   0   1      9
222   8   1   0   1   0      0
223   8   1   1   0   0      1
224   8   2   0   0   0      6
225   9   0   0   1   0      2
226   9   0   1   0   0      3
227   9   1   0   0   0      8
228  11   0   0   0   0      0

Tamanho da bobina matriz: 110
Tamanho das bobinas menores: [10, 12, 17, 18, 21]
Demandas: [1320, 1560, 2210, 1000, 1480]

Quantidade de bobinas usadas: 1080

Padrão 10: (0, 0, 4, 0, 2) resto 0
Quantidade usada: 503
Quantidade desperdiçada: 0
Quantidade satisfeita de cada demanda: (0, 0, 2012, 0, 1006)

Padrão 34: (0, 2, 4, 1, 0) resto 0
Quantidade usada: 50
Quantidade desperdiçada: 0
Quantidade satisfeita de cada demanda: (0, 100, 200, 50, 0)

Padrão 127: (2, 3, 0, 3, 0) resto 0
Quantidade usada: 290
Quantidade desperdiçada: 0
Quantidade satisfeita de cada demanda: (580, 870, 0, 870, 0)

Padrão 131: (2, 4, 0, 0, 2) resto 0
Quantidade usada: 148
Quantidade desperdiçada: 0
Quantidade satisfeita de cada demanda: (296, 592, 0, 0, 296)

Padrão 187: (5, 0, 0, 1, 2) resto 0
Quantidade usada: 89
Quantidade desperdiçada: 0
Quantidade satisfeita de cada demanda: (445, 0, 0, 89, 178)

Quantidade total de papel gasto: 118800
Quantidade desperdiçada: 0
